,User_name,Sentiment,User_flr,sText,Text
2020-06-23 08:03:46,c_labrinos,0,258,"$NKERT @INVINCIBLEBULL: CITY’S BURNING, POLICE QUITING, STATUES BEING TORN DOWN, COVID SOARING, AND STOCKS STILL MAKE ALL TIME HIGHS!  2020 THE…","RT @InvincibleBull: City’s burning, police quiting, statues being torn down, covid soaring, and stocks still make all time highs!  2020 the…"
2020-06-23 08:03:52,TierOneMgmt,0,17,"$NKERT @INVINCIBLEBULL: CITY’S BURNING, POLICE QUITING, STATUES BEING TORN DOWN, COVID SOARING, AND STOCKS STILL MAKE ALL TIME HIGHS!  2020 THE…","RT @InvincibleBull: City’s burning, police quiting, statues being torn down, covid soaring, and stocks still make all time highs!  2020 the…"
2020-06-23 08:07:21,HCKoutlet,0,98,$NKE - ONE FINAL LOOK BEFORE PLACING AN EARNING TRADE. HTTPS://T.CO/XQHJZLRB6T,$NKE - one final look before placing an earning trade. https://t.co/XqHjzLrb6T
2020-06-23 08:24:45,MommaBe70225546,0,68,$NKERT @NETADVISOR: @THELEOTERRELL @FOXNEWS @SEANHANNITY @REALDONALDTRUMP CORPORATIONS PLEDGE ,"RT @NetAdvisor: @TheLeoTerrell @FoxNews @seanhannity @realDonaldTrump Corporations Pledge $1.6 Billion to BLM.

$ Pledged to rebuild looted…"
2020-06-23 08:26:39,newmoneyFC,0,1575,$NKE PT ,"Cowen reiterated Outperform on Peloton $PTON PT $54 to $70 

UBS reiterated Buy on Apple $AAPL PT $325 to $400

Needham reiterated Buy on Nike $NKE PT $80 to $113"
2020-06-23 08:29:16,WallBravado,0,4494,$NKERT @ICEMANTRADING: ,"RT @IcemanTrading: $AAPL Raised to $400 at UBS
$RCL Lowered to $60 at UBS 
$WHR Raised to $150 at GS
$SHW Raised to $640 at WF
$SEAS Raised…"
2020-06-23 08:31:30,punkcap,0,3370,$NKE &GT; WILL GO TEST AND BLOW THRU 105 ON ER THIS WEEK... 🐎,$NKE &gt; will go test and BLOW THRU 105 on ER this week... 🐎
2020-06-23 08:33:01,sbwcws,0,149,$NKE,"Nike price target raised to $113 from $80 at Needham
$NKE"
2020-06-23 08:36:54,Briefingcom,1,24629,$NKE TARGET RAISED TO ,$NKE target raised to $113 at Needham https://t.co/K4ypuAcS9t
2020-06-23 08:43:02,AlertTrade,1,139067,$NKE TARGET RAISED TO ,RT @Briefingcom: $NKE target raised to $113 at Needham https://t.co/K4ypuAcS9t
2020-06-23 08:43:13,da_trader,1,864,$NKERT @NEWMONEYFC: COWEN REITERATED OUTPERFORM ON PELOTON ,"RT @newmoneyFC: Cowen reiterated Outperform on Peloton $PTON PT $54 to $70 

UBS reiterated Buy on Apple $AAPL PT $325 to $400

Needham rei…"
